0,252,501,749,997,1246,1494,1742,1991,2239,2487,2735,2984,3232,3480,3729,3977,4225,4474,4722
0,249,497,746,994,1242,1491,1739,1987,2236,2484,2733,2981,3229,3478,3726,3975,4223,4471,4720
0,252,500,748,997,1245,1494,1742,1990,2239,2487,2735,2984,3232,3480,3728,3977,4225,4473,4722
0,249,497,746,994,1243,1491,1739,1988,2236,2485,2733,2981,3230,3478,3726,3974,4223,4471,4720
0,250,498,746,995,1243,1492,1740,1988,2237,2485,2733,2982,3230,3478,3727,3975,4223,4471,4720
0,125,250,374,498,622,746,870,995,1119,1243,1367,1491,1615,1739,1863,1988,2112,2236,2360
0,252,500,748,997,1245,1493,1742,1990,2239,2487,2735,2984,3232,3480,3729,3977,4225,4474,4722
0,250,498,746,995,1243,1491,1740,1988,2237,2485,2733,2982,3230,3478,3727,3975,4223,4472,4720
0,249,497,746,994,1242,1490,1739,1987,2236,2484,2732,2981,3229,3477,3725,3974,4222,4470,4719
0,249,497,746,994,1242,1491,1739,1988,2236,2484,2732,2981,3229,3477,3726,3974,4222,4471,4719
0,249,497,745,994,1242,1490,1739,1987,2236,2484,2732,2981,3229,3477,3726,3974,4222,4471,4719
0,252,501,749,997,1246,1494,1743,1991,2239,2488,2736,2984,3233,3481,3730,3978,4226,4475,4723
0,253,501,750,998,1246,1495,1743,1991,2240,2488,2737,2985,3233,3481,3730,3978,4226,4475,4723
0,249,498,746,994,1243,1491,1739,1988,2236,2484,2733,2981,3230,3478,3726,3974,4223,4471,4720
0,251,500,748,996,1244,1493,1741,1990,2238,2486,2735,2983,3231,3280,3728,3976,4225,4473,4721
0,251,499,748,996,1244,1493,1741,1990,2238,2486,2735,2983,3231,3479,3728,3976,4224,4473,4721
0,249,497,746,994,1242,1491,1739,1988,2236,2484,2733,2981,3229,3478,3726,3974,4223,4471,4720
0,249,498,746,994,1243,1491,1740,1988,2237,2485,2733,2982,3230,3479,3727,3975,4224,4472,4720
0,250,498,746,995,1243,1491,1740,1988,2237,2485,2733,2982,3230,3478,3727,3975,4223,4472,4720
0,249,498,746,994,1243,1491,1740,1988,2236,2485,2733,2982,3230,3478,3727,3975,4223,4472,4720
0,251,500,748,996,1245,1493,1741,1990,2238,2486,2735,2983,3231,3480,3728,3976,4224,4473,4721
0,249,497,746,994,1242,1491,1739,1987,2236,2484,2732,2981,3229,3477,3726,3974,4222,4471,4719
0,253,502,750,998,1247,1495,1743,1992,2240,2489,2737,2985,3233,3482,3730,3978,4227,4475,4723
0,251,500,748,996,1245,1493,1742,1990,2238,2486,2735,2983,3232,3480,3728,3977,4225,4473,4722
0,249,497,746,994,1242,1491,1739,1987,2236,2484,2732,2981,3229,3477,3726,3974,4222,4470,4719
0,251,500,748,996,1245,1493,1742,1990,2238,2487,2735,2983,3232,3480,3728,3976,4225,4473,4721